timestamp,open,high,low,close,volume,symbol,source
2018-01-02,153.1999969482422,153.97000122070312,152.4600067138672,153.89999389648438,20489600,iwm,yfinance
2018-01-03,153.8699951171875,154.4600067138672,153.52000427246094,154.05999755859375,21836600,iwm,yfinance
2018-01-04,154.97000122070312,155.14999389648438,154.02000427246094,154.47000122070312,14207100,iwm,yfinance
2018-01-05,154.8800048828125,154.97999572753906,153.94000244140625,154.7899932861328,19883900,iwm,yfinance
2018-01-08,154.72999572753906,155.27000427246094,153.5,155.02999877929688,18457300,iwm,yfinance
2018-01-09,155.24000549316406,155.5,154.72999572753906,154.82000732421875,16571300,iwm,yfinance
2018-01-10,154.47000122070312,155.1699981689453,153.9199981689453,154.83999633789062,18516800,iwm,yfinance
2018-01-11,155.07000732421875,157.66000366210938,154.97999572753906,157.5,26522400,iwm,yfinance
2018-01-12,157.67999267578125,158.86000061035156,157.47000122070312,158.16000366210938,24089800,iwm,yfinance
2018-01-16,158.86000061035156,159.41000366210938,155.8000030517578,156.13999938964844,27704700,iwm,yfinance
2018-01-17,156.8000030517578,157.94000244140625,156.27999877929688,157.6199951171875,18571600,iwm,yfinance
2018-01-18,157.22000122070312,157.5,156.38999938964844,156.5399932861328,17903600,iwm,yfinance
2018-01-19,156.72999572753906,158.69000244140625,156.5500030517578,158.60000610351562,31040900,iwm,yfinance
2018-01-22,158.39999389648438,159.4499969482422,158.30999755859375,159.4499969482422,12702400,iwm,yfinance
2018-01-23,159.24000549316406,160.3000030517578,158.6699981689453,159.9600067138672,16904600,iwm,yfinance
2018-01-24,160.36000061035156,160.6300048828125,158.39999389648438,158.97000122070312,20340900,iwm,yfinance
2018-01-25,159.63999938964844,159.9199981689453,158.2100067138672,159.02999877929688,20290900,iwm,yfinance
2018-01-26,159.52999877929688,159.69000244140625,158.77000427246094,159.60000610351562,16120300,iwm,yfinance
2018-01-29,159.05999755859375,159.86000061035156,158.6199951171875,158.6999969482422,18293300,iwm,yfinance
2018-01-30,157.66000366210938,158.22000122070312,156.72999572753906,157.17999267578125,24533800,iwm,yfinance
2018-01-31,157.74000549316406,158.4199981689453,155.9199981689453,156.36000061035156,27468900,iwm,yfinance
2018-02-01,155.72999572753906,157.2100067138672,155.52999877929688,156.85000610351562,21413000,iwm,yfinance
2018-02-02,156.1300048828125,156.14999389648438,153.50999450683594,153.8300018310547,33314100,iwm,yfinance
2018-02-05,152.6699981689453,153.7899932861328,147.86000061035156,147.9199981689453,52622200,iwm,yfinance
2018-02-06,145.52999877929688,150.3699951171875,144.24000549316406,149.69000244140625,69232400,iwm,yfinance
2018-02-07,149.61000061035156,150.7899932861328,148.61000061035156,149.83999633789062,37101000,iwm,yfinance
2018-02-08,149.99000549316406,150.0,145.44000244140625,145.44000244140625,44704500,iwm,yfinance
2018-02-09,146.75999450683594,147.94000244140625,142.5,146.77000427246094,53315300,iwm,yfinance
2018-02-12,146.9199981689453,148.9199981689453,145.47999572753906,148.16000366210938,36213900,iwm,yfinance
2018-02-13,147.3800048828125,148.7899932861328,146.89999389648438,148.47999572753906,25021200,iwm,yfinance
2018-02-14,147.6300048828125,151.52000427246094,147.17999267578125,151.14999389648438,36286900,iwm,yfinance
2018-02-15,152.22000122070312,152.8699951171875,150.55999755859375,152.8000030517578,23773600,iwm,yfinance
2018-02-16,152.61000061035156,154.2899932861328,152.5399932861328,153.33999633789062,27973900,iwm,yfinance
2018-02-20,152.5500030517578,153.77000427246094,151.6699981689453,152.0800018310547,24046200,iwm,yfinance
2018-02-21,152.4199981689453,154.80999755859375,152.00999450683594,152.24000549316406,26735500,iwm,yfinance
2018-02-22,152.80999755859375,154.02999877929688,151.91000366210938,152.0,16340000,iwm,yfinance
2018-02-23,152.97999572753906,154.02000427246094,152.14999389648438,153.97999572753906,18065200,iwm,yfinance
2018-02-26,154.52999877929688,155.25999450683594,153.47000122070312,154.99000549316406,15267700,iwm,yfinance
2018-02-27,155.17999267578125,155.8800048828125,152.75,152.75999450683594,18125500,iwm,yfinance
2018-02-28,153.13999938964844,153.60000610351562,150.30999755859375,150.35000610351562,29951800,iwm,yfinance
